# Chunk-averaged data for fix 55 and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number vx temp
5000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5120.34 0.097828 0.000322347 435.086
  4 25 5119.66 0.097815 -0.0033378 448.562
  5 35 5119.46 0.0978112 0.00205686 314.077
  6 45 5006.98 0.0956621 0.00142754 247.177
  7 55 4907.92 0.0937695 0.00514881 218.139
  8 65 5092.3 0.0972923 0.00120814 203.951
  9 75 5100.7 0.0974527 0.00192324 192.629
  10 85 5096.54 0.0973733 -0.00262832 186.586
  11 95 5090.34 0.0972548 -0.000504914 184.208
  12 105 5082.64 0.0971077 -0.00132679 184.254
  13 115 5033.08 0.0961608 0.000640008 184.547
  14 125 5047.8 0.096442 -0.00362322 185.153
  15 135 5104.14 0.0975185 -0.00214947 190.682
  16 145 5118.14 0.0977859 0.000775018 199.573
  17 155 5119.96 0.0978207 0.00192998 213.7
  18 165 5120 0.0978215 0.00242493 242.956
  19 175 5107.06 0.0975743 -0.00259283 303.442
  20 185 5025.58 0.0960175 -0.00260788 436.667
  21 195 5021.74 0.0959441 0.00580162 740.932
  22 205 4983.76 0.0952185 0.00419173 1411.61
  23 215 4944.58 0.0944699 0.00830224 1651.29
  24 225 5042.52 0.0963412 -0.000303059 1130.85
  25 235 5069.74 0.0968612 0.00384892 617.188
  26 245 5085.26 0.0971577 -0.000311521 394.798
  27 255 5091.66 0.09728 -0.00519574 302.786
  28 265 5089.82 0.0972449 -0.00324276 264.016
  29 275 5090.02 0.0972487 -0.00597849 262.864
  30 285 2048.26 0.0391336 0.00828212 373.693
10000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5122.56 0.0978704 0.00385045 417.828
  4 25 5117.44 0.0977726 0.000289554 451.186
  5 35 5118.66 0.0977959 0.00173082 396.911
  6 45 5030.04 0.0961027 -0.00254193 356.639
  7 55 5049.2 0.0964688 -0.00650723 330.315
  8 65 5082.88 0.0971123 -0.00784115 311.623
  9 75 5035.66 0.0962101 -0.00211765 300.142
  10 85 4992.88 0.0953928 0.00190336 292.342
  11 95 4976.22 0.0950745 0.00156948 290.05
  12 105 5048.04 0.0964466 0.00348974 292.639
  13 115 5107.26 0.0975781 0.00468383 305.031
  14 125 5119.18 0.0978058 0.00752019 321.091
  15 135 5119.98 0.0978211 0.00722747 351.561
  16 145 5120 0.0978215 -0.000451207 400.832
  17 155 5120 0.0978215 -0.00237149 486.39
  18 165 5120 0.0978215 -0.00314593 633.724
  19 175 5115.46 0.0977347 0.00286904 889.854
  20 185 5071.48 0.0968945 -0.00454085 1309.08
  21 195 4998.62 0.0955024 0.00618724 1955.34
  22 205 4795.32 0.0916182 -0.0132225 2914.74
  23 215 4649.6 0.0888341 0.00877667 3261.73
  24 225 4847.04 0.0926064 0.00352211 2609.24
  25 235 5082.48 0.0971046 0.00133673 1759.77
  26 245 5120 0.0978215 -0.00399367 1225.81
  27 255 5119.78 0.0978173 0.00370835 901.021
  28 265 5110.48 0.0976396 0.00388964 716.885
  29 275 5091.8 0.0972827 0.010621 633.708
  30 285 2597.94 0.0496356 0.0129285 608.804
15000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5120.3 0.0978272 -0.00307295 409.267
  4 25 5119.72 0.0978161 0.00494897 455.872
  5 35 5114.36 0.0977137 0.00259116 429.807
  6 45 4880.48 0.0932453 0.00468287 412.767
  7 55 4870.26 0.09305 0.00524094 400.718
  8 65 5018.86 0.0958891 0.00282719 391.361
  9 75 5083.96 0.0971329 0.00425581 391.699
  10 85 5112.34 0.0976751 0.00480044 390.226
  11 95 5119.72 0.0978161 0.00371777 401.742
  12 105 5120 0.0978215 -0.00426473 421.405
  13 115 5120 0.0978215 -0.0054205 456.797
  14 125 5120 0.0978215 -0.00780287 506.017
  15 135 5120 0.0978215 -0.00547462 581.524
  16 145 5119.82 0.097818 0.00316172 700.89
  17 155 5076.02 0.0969812 -0.00893422 875.535
  18 165 4915.18 0.0939082 0.00162067 1133.65
  19 175 4911.08 0.0938299 -0.00105545 1508.65
  20 185 4792.28 0.0915601 0.00276732 2027.89
  21 195 4813.28 0.0919614 -0.00565167 2711.01
  22 205 4975.94 0.0950691 0.00862166 3690.94
