# Chunk-averaged data for fix 55 and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number vx temp
30000 70 52599
  1 -44.5 0 0 0 0
  2 -43.5 0 0 0 0
  3 -42.5 0 0 0 0
  4 -41.5 0 0 0 0
  5 -40.5 0 0 0 0
  6 -39.5 0 0 0 0
  7 -38.5 0 0 0 0
  8 -37.5 0 0 0 0
  9 -36.5 0 0 0 0
  10 -35.5 0 0 0 0
  11 -34.5 0 0 0 0
  12 -33.5 0 0 0 0
  13 -32.5 0 0 0 0
  14 -31.5 0 0 0 0
  15 -30.5 0 0 0 0
  16 -29.5 0 0 0 0
  17 -28.5 0 0 0 0
  18 -27.5 0 0 0 0
  19 -26.5 0 0 0 0
  20 -25.5 0 0 0 0
  21 -24.5 0 0 0 0
  22 -23.5 0 0 0 0
  23 -22.5 0 0 0 0
  24 -21.5 0 0 0 0
  25 -20.5 0 0 0 0
  26 -19.5 0 0 0 0
  27 -18.5 0 0 0 0
  28 -17.5 0 0 0 0
  29 -16.5 0 0 0 0
  30 -15.5 0 0 0 0
  31 -14.5 0 0 0 0
  32 -13.5 0 0 0 0
  33 -12.5 0 0 0 0
  34 -11.5 0 0 0 0
  35 -10.5 0 0 0 0
  36 -9.5 0 0 0 0
  37 -8.5 0 0 0 0
  38 -7.5 0 0 0 0
  39 -6.5 0 0 0 0
  40 -5.5 0 0 0 0
  41 -4.5 0 0 0 0
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0 0 0 0
  46 0.5 0 0 0 0
  47 1.5 2.22 2.63971e-05 -0.125405 349.468
  48 2.5 817.16 0.00971653 0.291262 350.948
  49 3.5 2896.96 0.0344466 0.267954 341.346
  50 4.5 2433.18 0.028932 0.317102 336.315
  51 5.5 2336.16 0.0277784 0.319808 334.554
  52 6.5 2688.02 0.0319622 0.309779 332.054
  53 7.5 2600.5 0.0309215 0.33801 329.737
  54 8.5 2536 0.0301546 0.341982 330.252
  55 9.5 2616.9 0.0311165 0.358968 326.661
  56 10.5 2609.24 0.0310254 0.351404 325.156
  57 11.5 2606.86 0.0309971 0.35162 323.833
  58 12.5 2598.44 0.030897 0.33996 325.589
  59 13.5 2608.14 0.0310124 0.353636 325.298
  60 14.5 2590.6 0.0308038 0.358183 325.643
  61 15.5 2565.24 0.0305023 0.333646 325.519
  62 16.5 2568.86 0.0305453 0.354683 325.657
  63 17.5 2470.22 0.0293724 0.335142 325.726
  64 18.5 2400.44 0.0285427 0.342784 327.874
  65 19.5 2444.7 0.029069 0.335723 327.913
  66 20.5 2278.18 0.0270889 0.328935 329.1
  67 21.5 2026.54 0.0240968 0.334844 332.495
  68 22.5 2373.26 0.0282195 0.320105 335.929
  69 23.5 1482.34 0.0176259 0.273528 337.323
  70 24.5 48.84 0.000580737 0.289083 341.308
35000 70 52599
  1 -44.5 0 0 0 0
  2 -43.5 0 0 0 0
  3 -42.5 0 0 0 0
  4 -41.5 0 0 0 0
  5 -40.5 0 0 0 0
  6 -39.5 0 0 0 0
  7 -38.5 0 0 0 0
  8 -37.5 0 0 0 0
  9 -36.5 0 0 0 0
  10 -35.5 0 0 0 0
  11 -34.5 0 0 0 0
  12 -33.5 0 0 0 0
  13 -32.5 0 0 0 0
  14 -31.5 0 0 0 0
  15 -30.5 0 0 0 0
  16 -29.5 0 0 0 0
  17 -28.5 0 0 0 0
  18 -27.5 0 0 0 0
  19 -26.5 0 0 0 0
  20 -25.5 0 0 0 0
  21 -24.5 0 0 0 0
  22 -23.5 0 0 0 0
  23 -22.5 0 0 0 0
  24 -21.5 0 0 0 0
  25 -20.5 0 0 0 0
  26 -19.5 0 0 0 0
  27 -18.5 0 0 0 0
  28 -17.5 0 0 0 0
  29 -16.5 0 0 0 0
  30 -15.5 0 0 0 0
  31 -14.5 0 0 0 0
  32 -13.5 0 0 0 0
  33 -12.5 0 0 0 0
  34 -11.5 0 0 0 0
  35 -10.5 0 0 0 0
  36 -9.5 0 0 0 0
  37 -8.5 0 0 0 0
  38 -7.5 0 0 0 0
  39 -6.5 0 0 0 0
  40 -5.5 0 0 0 0
  41 -4.5 0 0 0 0
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0 0 0 0
  46 0.5 0 0 0 0
  47 1.5 1.06 1.2604e-05 0.979032 446.458
  48 2.5 778.22 0.00925351 0.341346 388.344
  49 3.5 2719.72 0.0323391 0.377245 388.214
  50 4.5 2383.66 0.0283432 0.348117 384.429
  51 5.5 2277.86 0.0270851 0.377011 382.43
  52 6.5 2602.44 0.0309446 0.382814 378.341
  53 7.5 2518.9 0.0299512 0.414319 376.568
  54 8.5 2492.84 0.0296414 0.436224 372.614
  55 9.5 2549.02 0.0303094 0.439308 373.276
  56 10.5 2549.76 0.0303182 0.414233 373.195
  57 11.5 2533.32 0.0301227 0.401754 370.211
  58 12.5 2548.14 0.0302989 0.424873 370.228
  59 13.5 2555.12 0.0303819 0.42552 370.726
  60 14.5 2534.8 0.0301403 0.416549 370.597
  61 15.5 2542.46 0.0302314 0.42993 369.289
  62 16.5 2557.24 0.0304071 0.416386 372.277
  63 17.5 2523.28 0.0300033 0.40762 372.655
  64 18.5 2482.62 0.0295199 0.426022 373.671
  65 19.5 2576.22 0.0306328 0.408012 374.465
  66 20.5 2437.36 0.0289817 0.391043 377.695
  67 21.5 2188.18 0.0260188 0.39395 380.041
  68 22.5 2667.52 0.0317184 0.399736 383.153
  69 23.5 1549.72 0.0184271 0.373759 396.345
  70 24.5 29.54 0.000351249 0.126596 415.953
40000 70 52599
  1 -44.5 0.02 2.37812e-07 6.16682 316.241
  2 -43.5 0 0 0 0
  3 -42.5 0 0 0 0
  4 -41.5 0 0 0 0
  5 -40.5 0 0 0 0
  6 -39.5 0 0 0 0
  7 -38.5 0 0 0 0
  8 -37.5 0 0 0 0
  9 -36.5 0 0 0 0
  10 -35.5 0 0 0 0
  11 -34.5 0 0 0 0
  12 -33.5 0 0 0 0
  13 -32.5 0 0 0 0
  14 -31.5 0 0 0 0
  15 -30.5 0 0 0 0
  16 -29.5 0 0 0 0
  17 -28.5 0 0 0 0
  18 -27.5 0 0 0 0
  19 -26.5 0 0 0 0
  20 -25.5 0 0 0 0
  21 -24.5 0 0 0 0
  22 -23.5 0 0 0 0
  23 -22.5 0 0 0 0
  24 -21.5 0 0 0 0
  25 -20.5 0 0 0 0
  26 -19.5 0 0 0 0
  27 -18.5 0 0 0 0
  28 -17.5 0 0 0 0
  29 -16.5 0 0 0 0
  30 -15.5 0 0 0 0
  31 -14.5 0 0 0 0
  32 -13.5 0 0 0 0
  33 -12.5 0 0 0 0
  34 -11.5 0 0 0 0
  35 -10.5 0 0 0 0
  36 -9.5 0 0 0 0
  37 -8.5 0 0 0 0
  38 -7.5 0 0 0 0
  39 -6.5 0 0 0 0
  40 -5.5 0 0 0 0
  41 -4.5 0 0 0 0
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0 0 0 0
  46 0.5 0 0 0 0
  47 1.5 0.24 2.85375e-06 -0.508181 344.88
  48 2.5 647.16 0.00769512 0.300444 477.146
  49 3.5 2830.8 0.0336599 0.337786 463.485
  50 4.5 2379.76 0.0282968 0.365784 456.317
  51 5.5 2231.18 0.0265301 0.368716 453.934
  52 6.5 2563.96 0.030487 0.376765 449.361
  53 7.5 2464.78 0.0293077 0.39634 449.052
  54 8.5 2457.24 0.0292181 0.43212 448.103
  55 9.5 2510.24 0.0298483 0.43735 444.462
  56 10.5 2490.5 0.0296136 0.456083 442.52
  57 11.5 2512.06 0.0298699 0.449441 440.195
  58 12.5 2503.04 0.0297627 0.473277 442.41
  59 13.5 2516.36 0.029921 0.51505 441.35
  60 14.5 2507.58 0.0298166 0.495963 442.04
  61 15.5 2495.62 0.0296744 0.497521 441.752
  62 16.5 2521.08 0.0299772 0.488962 440.971
  63 17.5 2496.84 0.0296889 0.508174 443.112
  64 18.5 2436.36 0.0289698 0.468732 445.722
  65 19.5 2542.16 0.0302278 0.436936 447.775
  66 20.5 2499.12 0.0297161 0.462322 451.414
  67 21.5 2109.5 0.0250832 0.439592 453.322
  68 22.5 2714.94 0.0322823 0.411787 458.297
  69 23.5 2105.96 0.0250411 0.410396 463.665
  70 24.5 62.5 0.000743163 0.400523 470.011
45000 70 52599
  1 -44.5 0 0 0 0
  2 -43.5 0 0 0 0
  3 -42.5 0 0 0 0
  4 -41.5 0 0 0 0
  5 -40.5 0 0 0 0
  6 -39.5 0 0 0 0
  7 -38.5 0 0 0 0
  8 -37.5 0 0 0 0
  9 -36.5 0 0 0 0
  10 -35.5 0 0 0 0
  11 -34.5 0 0 0 0
  12 -33.5 0 0 0 0
  13 -32.5 0 0 0 0
  14 -31.5 0 0 0 0
  15 -30.5 0 0 0 0
  16 -29.5 0 0 0 0
  17 -28.5 0 0 0 0
  18 -27.5 0 0 0 0
  19 -26.5 0 0 0 0
  20 -25.5 0 0 0 0
  21 -24.5 0 0 0 0
  22 -23.5 0 0 0 0
  23 -22.5 0 0 0 0
  24 -21.5 0 0 0 0
  25 -20.5 0 0 0 0
  26 -19.5 0 0 0 0
  27 -18.5 0 0 0 0
  28 -17.5 0 0 0 0
  29 -16.5 0 0 0 0
  30 -15.5 0 0 0 0
  31 -14.5 0 0 0 0
  32 -13.5 0 0 0 0
  33 -12.5 0 0 0 0
  34 -11.5 0 0 0 0
  35 -10.5 0 0 0 0
  36 -9.5 0 0 0 0
  37 -8.5 0 0 0 0
  38 -7.5 0 0 0 0
  39 -6.5 0 0 0 0
  40 -5.5 0 0 0 0
  41 -4.5 0 0 0 0
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0 0 0 0
  46 0.5 0 0 0 0
  47 1.5 3.96 4.70868e-05 0.0605903 604.958
  48 2.5 1283.36 0.0152599 0.261022 582.759
  49 3.5 3012.26 0.0358176 0.274319 580.759
  50 4.5 2160 0.0256837 0.319884 571.298
  51 5.5 2319.66 0.0275822 0.338188 566.019
  52 6.5 2548.62 0.0303046 0.347317 563.256
  53 7.5 2389.84 0.0284166 0.365261 557.537
